question,answer
"السلام عليكم","وعليكم السلام ورحمة الله 🙏 أهلاً بيك في Nidham! ممكن أعرف اسمك واسم شركتك عشان أقدر أساعدك صح؟"
"اهلا","أهلاً بيك! 👋 أنا مساعد Nidham. عايز تعرف عن النظام، الأسعار، ولا تحجز Demo؟"
"هاي","هاي! 👋 إزيك؟ كيف أقدر أساعدك في Nidham النهاردة؟"
"مرحبا","مرحبتين 🌟 أهلاً بيك في Nidham! اسمك إيه واسم شركتك؟"
"مساء الخير","مساء النور 🌙 إزاي أقدر أساعدك دلوقتي؟ عايز تعرف عن النظام ولا تحجز Demo؟"
"صباح الخير","صباح الفل 🌞 أهلاً بيك في Nidham! إيه اللي تحب نتكلم فيه؟"
"مين انتم","إحنا Nidham — نظام HR + Payroll + AI مصري للشركات الصغيرة والمتوسطة. شغّال عند 200+ موظف بربع تكلفة Bayzat. عايز تعرف أكتر عن إيه بالظبط؟"
"ايه ده","ده Nidham 🚀 نظام كامل لإدارة الموارد البشرية والمرتبات والتأمينات للشركات المصرية. كام موظف عندك في شركتك؟"
"شركتكم بتعمل ايه","Nidham بنبني نظام HR + Payroll + AI مصري متخصص للشركات اللي عندها من 10 لـ 200 موظف. بنحلّ مشاكل المرتبات والتأمينات والحضور في برنامج واحد بربع تكلفة Bayzat. ممكن أعرف اسم شركتك؟"
"اول مره اعرف عنكم","يسعدنا تواصلك! 🌟 Nidham هو نظام HR + Payroll + AI مصري، شغّال عند 200+ موظف. تحب أبعتلك البرشور (4 صفحات بكل التفاصيل) ولا نحجز Demo سريع 20 دقيقة؟"
"كام السعر","الأسعار حسب عدد الموظفين 💰\n\n📦 مجاني: 5 موظفين = 0 ج\n📦 Starter: 25 موظف = 500 ج/شهر\n📦 Pro ⭐: 100 موظف = 1,500 ج/شهر\n📦 Business: 500 موظف = 3,500 ج/شهر\n\n🎁 Beta Offer: 3 شهور مجاناً + 50% خصم لسنة كاملة (لأول 10 شركات فقط)\n\nشركتك كام موظف؟ عشان أقولك الأنسب."
"السعر كام","نفس الإجابة السابقة عن السعر. كام موظف عندك في الشركة عشان أديك السعر الدقيق؟"
"بكام النظام","الأسعار: مجاني (5 موظفين) / 500 (25 موظف) / 1,500 ⭐ (100 موظف) / 3,500 ج/شهر (500 موظف). 🎁 Beta: 3 شهور مجاناً + 50% خصم سنة. كام موظف عندك؟"
"بتاخدوا كام","الـ Pro plan (الأكثر شعبية) 1,500 ج/شهر لـ 100 موظف. شركات بـ 500 موظف بـ 3,500 ج/شهر. لو شركة جديدة عندنا Beta: 3 شهور مجاناً. كام موظف عندك؟"
"عندي كام موظف لازم ادفع","حسب عدد الموظفين:\n• 5 موظفين أو أقل → مجاني\n• 6-25 موظف → 500 ج/شهر\n• 26-100 موظف → 1,500 ج/شهر\n• 101-500 موظف → 3,500 ج/شهر\n• 500+ → تواصل لتسعير خاص"
"في tier مجاني","أيوة ✅ Free Plan متاح لشركات حتى 5 موظفين. بيشمل كل الميزات الأساسية (موظفين + حضور + إجازات + مرتبات بسيطة). تحب تجربه؟"
"في نسخة مجانية","أيوة في Free Plan كامل بدون أي تكلفة لشركات حتى 5 موظفين. بدون credit card، بدون تجربة محدودة. ابدأ من: nidhamhr.com"
"في عرض حالياً","أيوة 🎁 Beta Offer شغّال دلوقتي:\n• 3 شهور مجاناً + 50% خصم لسنة كاملة\n• لأول 10 شركات فقط\n• 7 مكان متبقي من 10\n\nشركتك مناسبة لو 30-200 موظف. عايز تنضم؟"
"في خصم","أيوة 🎁 Beta Offer:\n3 شهور مجاناً + 50% خصم لسنة كاملة (لأول 10 شركات).\nكمان فيه خصم سنوي 20% لو دفعت سنة كاملة مقدماً.\nكام موظف عندك؟"
"السعر سنوي ولا شهري","الأسعار شهرية بشكل افتراضي. لو دفعت سنة كاملة مقدماً، تاخد 20% خصم. الـ Pro 1,500 ج/شهر = 18,000 ج/سنة، بـ 20% خصم = 14,400 ج/سنة."
"بيقبل اقساط","حالياً الدفع بيبقى شهرياً أو سنوياً مقدماً. الـ Pro 1,500 ج/شهر مش رقم كبير لشركة بـ 100 موظف. لو في ظروف خاصة، باسم يقدر يرتب معاك."
"بيشمل ايه","الـ Pro plan بيشمل:\n✅ كل الموظفين (100)\n✅ مرتبات قانونية + تأمينات\n✅ موبايل app + GPS\n✅ AI Agent\n✅ نماذج التأمينات الرسمية\n✅ تقييم أداء\n✅ Support بالعربي\n✅ تحديثات دائمة\n\nبدون رسوم خفية. ولا setup fees."
"في رسوم خفية","لأ ❌ مفيش رسوم خفية. السعر = اللي تشوفه. Onboarding مجاناً، support بالعربي مجاناً، تحديثات مجاناً. تدفع شهري بس."
"ايه الفرق بين الباقات","الفرق الأساسي = عدد الموظفين:\n• Free: 5\n• Starter: 25\n• Pro: 100 (الأنسب لمعظم SMBs)\n• Business: 500\n\nكل الباقات فيها نفس الميزات. السعر بيزيد مع عدد الموظفين بس."
"عندي 50 موظف","ممتاز! الـ Pro plan هو الأنسب ليك 🎯\n• 1,500 ج/شهر\n• يكفي 100 موظف (انت بـ 50)\n• كل الميزات متاحة\n\n🎁 لو ضمن أول 10 شركات Beta = 3 شهور مجاناً + 50% خصم سنة كاملة. عايز تحجز Demo نوضّحلك النظام؟"
"عندي 200 موظف","ممتاز! الـ Business plan هو الأنسب 🎯\n• 3,500 ج/شهر\n• يكفي حتى 500 موظف\n• كل الميزات + dedicated support\n\nمثل شركة الاتحاد بتاعتنا (200+ موظف). تحب نحجز Demo؟"
"عندي 10 موظفين","الـ Starter plan هو الأنسب ليك:\n• 500 ج/شهر\n• يكفي حتى 25 موظف\n• كل الميزات الأساسية\n\nأو لو عايز تجرب الأول، استخدم الـ Free plan (5 موظفين). تحب تبدأ؟"
"بيعمل ايه","Nidham بيعمل كل ده في برنامج واحد:\n✓ إدارة موظفين + ملفات\n✓ مرتبات تلقائية بقانون 2026\n✓ تأمينات + ضرايب\n✓ حضور بالـ GPS + ZKTeco\n✓ إجازات + موافقات\n✓ تقييم أداء\n✓ موبايل app للموظفين\n✓ AI Agent بالعربي\n\nأي ميزة بالظبط عايز تعرف عنها؟"
"بيعمل مرتبات","أيوة ✅ النظام بيحسب المرتبات بالكامل:\n• الراتب الأساسي + البدلات\n• خصم التأمينات (11% موظف)\n• خصم الضرايب (شرايح 2026)\n• Overtime (35% / 50% / 100%)\n• خصم الغياب والـ deductions\n\nكل ده تلقائي. مفيش حسابات يدوية."
"بيدير الإجازات","أيوة ✅ نظام إجازات كامل:\n• طلب الإجازة من الموبايل\n• موافقة المدير في ثانية\n• حساب الرصيد تلقائي\n• Calendar للفريق كله\n• إجازات سنوية + عرضية + مرضية + بدون مرتب\n• حساب carryover للسنة الجديدة"
"في موبايل app","أيوة 📱 موبايل app للموظفين:\n✓ Check-in بالـ GPS\n✓ طلب إجازة\n✓ شوف قسيمة الراتب\n✓ شات مع HR\n✓ إشعارات تلقائية\n\nمتاح على Android + iPhone."
"الحضور والانصراف","نظام حضور كامل بطريقتين:\n1. 📱 من الموبايل بالـ GPS (للموظفين خارج المكتب)\n2. 🔧 ZKTeco device integration (للمصانع والمكاتب)\n\nالنظام بيحسب الـ overtime تلقائياً + الـ tardiness + الغياب."
"ZKTeco بيتشتغل عليه","أيوة ✅ تكامل كامل مع أجهزة ZKTeco. بنستورد ملف الحضور (Excel/CSV)، النظام بيـ parse البيانات + يحسب overtime + يطبق على المرتبات. زيرو شغل يدوي."
"AI Agent ده ايه","AI Agent هو ميزة فريدة في Nidham 🤖\nتقدر تكتب أوامر بالعربي زي:\n• \"ضيف موظف اسمه أحمد، راتب 5000\"\n• \"شوف غياب محمد الشهر ده\"\n• \"اطبع نموذج 6 لـ سارة\"\n\nوالنظام بينفّذ تلقائياً. زي ChatGPT بس متخصص في HR."
"AI بيعمل ايه","الـ AI في Nidham بيعمل 4 حاجات:\n1. 🤖 Agent: ينفّذ أوامر بالعربي\n2. ✍️ Marketing Studio: يكتب إعلانات\n3. 📊 Pattern detection: يكشف موظف بيتأخر باستمرار\n4. 📄 CV Screening: يقيّم المرشحين تلقائياً\n\nأي واحد فيهم تحب تعرف أكتر؟"
"بيطلع نماذج تأمينات","أيوة ✅ كل النماذج الرسمية بنقرة واحدة:\n• نموذج 1 (تسجيل موظف جديد)\n• نموذج 2 (تعديل أجر)\n• نموذج 6 (ترك الخدمة + EOS)\n• شهادة عمل / خبرة / راتب\n\nده اللي بيوفّر للـ HR ساعات شغل أسبوعياً."
"بيعمل تقييم اداء","أيوة ✅ نظام Performance Reviews كامل:\n• KPIs لكل موظف\n• Self-assessment + Manager assessment\n• 360 feedback (اختياري)\n• Calibration meetings\n• ربط النتيجة بالعلاوات\n\nبيشتغل سنوي أو ربع سنوي."
"بيدير اصول الشركة","أيوة ✅ Asset Management كامل:\n• تسجيل كل الأصول (لاب توب، موبايل، عربية)\n• تخصيص لكل موظف\n• Tracking الـ depreciation\n• إنذار قبل انتهاء الضمان\n• تقارير القيمة الحالية"
"متوافق مع القانون المصري","أيوة ✅ 100% متوافق مع:\n• قانون العمل المصري 12/2003\n• قانون التأمينات 148/2019\n• قانون الضرايب 2026 (الشرايح الجديدة)\n• قانون حماية البيانات 151/2020\n\nالنظام مبني من الصفر للسوق المصري — مش نسخة معرّبة."
"الضرايب الجديدة 2026","أيوة Nidham محدّث بشرايح ضريبة 2026:\n• 0% للـ 40,000 ج الأولى\n• 10% للـ 55,000 ج التالية\n• 15% للـ 75,000 ج التالية\n• 20% للـ 200,000 ج التالية\n• 22.5% أكتر من ده\n\nالنظام بيحسبها تلقائياً لكل موظف."
"التأمينات بتتحسب ازاي","الـ Nidham بيحسب التأمينات حسب القانون المصري 2026:\n• الموظف: 11% من المرتب\n• صاحب العمل: 18.75%\n• الراتب اليومي: ÷26 (مش ÷30)\n• تطبيق الحد الأقصى للأجر الخاضع للاشتراك\n\nأي غلطة = غرامة 10k-100k ج. Nidham بيحميك من ده."
"غرامات التأمينات","Nidham بيحميك من الغرامات بـ:\n✓ حسابات صح بقانون 2026\n✓ نماذج رسمية بنقرة (1، 2، 6)\n✓ Audit log immutable للتفتيش\n✓ تنبيهات قبل موعد التقديم\n\nشركات بتدفع 100,000 ج/سنة غرامات بسبب أخطاء Excel. مع Nidham: صفر غرامات."
"بيحسب الـ overtime","أيوة ✅ حسب القانون المصري:\n• 35% فوق الراتب الأساسي (نهاراً)\n• 50% (ليلاً 8 م - 6 ص)\n• 100% (أجازات + يوم راحة)\n\nبيتم تلقائياً من بيانات الـ ZKTeco. مفيش حسابات يدوية."
"audit log","أيوة ✅ كل عملية في النظام بتتسجّل في audit log محصّن بـ hash chain (مش بيتعدّل بأثر رجعي). لو في تفتيش، التقرير جاهز بنقرة. ده feature enterprise موجود في Nidham من الـ Free Plan."
"بياناتي امنة","100% آمنة 🔒\n• PII (الرقم القومي، البنك) مشفّر AES-256\n• الـ backup يومي على AWS\n• 2FA إجباري للـ admin\n• ISO 27001 compliant\n• SOC 2 (في الـ roadmap)\n\nبياناتك أأمن من Excel على الموبايل."
"بيشتغل على cloud","أيوة ☁️ Cloud SaaS بالكامل. مفيش server لازم تشتريه أو IT تدفع له. بيشتغل على Vercel + Supabase (enterprise-grade infrastructure)."
"على iPhone بيشتغل","أيوة ✅ موبايل app متاح على iPhone (iOS 14+) و Android (8.0+). كمان Web app يشتغل على أي browser (Chrome, Safari, Firefox, Edge)."
"بيخزن البيانات فين","البيانات بتتخزّن على Supabase (AWS Singapore + USA). الـ backup يومي. الـ PII مشفّر بـ AES-256. متوافق مع قانون حماية البيانات المصري 151/2020. بياناتك ملكك — تقدر تـ export في أي وقت."
"يفرق ايه عن Bayzat","Nidham vs Bayzat لشركة 100 موظف:\n\n💰 السعر: 1,500 vs 10,000+ ج/شهر\n🇪🇬 نماذج تأمينات مصرية: ✅ vs ❌\n📋 ضرايب 2026: ✅ vs قديم\n🗣️ عربي مصري native: ✅ vs معرّب\n🤖 AI Agent: ✅ vs ❌\n\nعايز مقارنة أكتر تفصيلاً؟ ابعتلك البرشور: nidhamhr.com/brochure"
"احسن من ZenHR","Nidham vs ZenHR لشركة 100 موظف:\n\n💰 1,500 vs 8,000+ ج/شهر (5× أرخص)\n🇪🇬 نماذج التأمينات المصرية: ✅ vs ❌\n📋 ضرايب 2026: محدّث vs قديم\n🤖 AI Agent بالعربي: ✅ vs ❌\n\nZenHR كويس لكن للأسف مش متخصص للسوق المصري بنفس الدقة."
"ليه اختاركم","3 أسباب أساسية:\n\n1. 🇪🇬 مبني من الصفر للسوق المصري (مش نسخة معرّبة)\n2. 💰 ربع تكلفة Bayzat بنفس الميزات\n3. 🤖 AI Agent مفيش حد تاني عنده\n\n+ شغّال عند 200+ موظف بالفعل، مش experiment."
"في عملاء","أيوة 2 عملاء حاليين كبار:\n\n1. مجموعة الاتحاد للإنشاءات المعدنية (200+ موظف)\n2. المصرية الألمانية للأبواب WPC (شركة صناعية)\n\nشغّال عندهم من شهور وبيكسبوا 14,000+ ج/شهر توفير. تحب تعرف case study تفصيلية؟"
"شغال عند مين","شركتين حالياً:\n• مجموعة الاتحاد للإنشاءات المعدنية\n• المصرية الألمانية للأبواب WPC\n\nالاتحاد بـ 200+ موظف، شغّال عندهم من شهور. لو حابب نرتب call مع HR Manager بتاعهم للـ reference، تقدر."
"اول مرة بشتري سيستم","يا أهلاً 🌟 ده قرار مهم. خد وقتك. أول حاجة، احنا هنوفّرلك:\n\n✅ Demo مجاني 20 دقيقة (نشرحلك كل شيء)\n✅ Onboarding مجاني (هنركّبه ليك)\n✅ Free Plan لو شركتك حتى 5 موظفين (جرّب من غير commitment)\n✅ 3 شهور Beta لو لـ 30-200 موظف\n\nنبدأ بأنهي واحد؟"
"عرض Beta ايه","🎁 Beta Offer (لأول 10 شركات فقط):\n\n✅ 3 شهور مجاناً\n✅ + 50% خصم لسنة كاملة بعدها\n✅ Onboarding شخصي\n✅ Support بالعربي عبر واتساب\n✅ تدريب فريقك مجاناً\n\nفي المقابل:\n• استخدام النظام فعلياً\n• اجتماع feedback كل أسبوعين (20 دقيقة)\n• testimonial اختياري\n\n7 مكان متبقي من 10. شركتك مناسبة لو 30-200 موظف. عايز تنضم؟"
"كيف انضم Beta","عشان تنضم لـ Beta:\n\n1. ابعتلي اسم شركتك + عدد موظفين + إيميل\n2. أحدد لك معاد Demo (20 دقيقة)\n3. لو متفقين، نبدأ onboarding فوراً\n4. 3 شهور مجاناً تبدأ من يوم التفعيل\n\nنبدأ؟ ابعتلي البيانات."
"بقدر اعمل demo","أكيد 🎯 يشرفنا!\n\nالـ Demo بياخد 20 دقيقة بس وبيشمل:\n✓ تشغيل أول cycle مرتبات\n✓ طبع نموذج 6 تأمينات بنقرة\n✓ تجربة موبايل app\n✓ تجربة AI Agent\n\nأنسبلك امتى:\n📅 بكرة 10 ص\n📅 بكرة 2 ظ\n📅 بعد بكرة 11 ص\n\nأو قول الوقت اللي يناسبك."
"احجز demo","يا أهلاً! 🎥 أنسبلك إيه من دول:\n\n📅 بكرة 10:00 ص\n📅 بكرة 2:00 ظ\n📅 بعد بكرة 11:00 ص\n📅 بعد بكرة 4:00 ع\n\nأو قول الوقت اللي يريحك. الـ Demo عبر Google Meet أو WhatsApp Video."
"ايه ميعاد متاح","المواعيد المتاحة للـ Demo:\n📅 بكرة: 10ص، 2ظ، 4ع\n📅 بعد بكرة: 11ص، 1ظ، 3ع\n📅 السبت الجاي: 10ص، 12ظ\n\nاللي يريحك؟"
"الديمو بياخد قد ايه","Demo سريع وعملي = 20 دقيقة بس:\n• 5 دق: اسأل عن شركتك واحتياجاتك\n• 10 دق: تجربة حية للنظام\n• 5 دق: إجابة أسئلتك + الباقة الأنسب\n\nلو محتاج وقت أطول، نحدد ساعة كاملة."
