سؤال,رد
النظام ده بيعمل ايه؟,نِظام HR نظام مصري سحابي بيدير المرتبات والحضور والتأمينات والضريبة والإجازات وملفات الموظفين و CRM في مكان واحد. بيشتغل أونلاين ومعاه تطبيق ديسك توب.
ايه هو نظام نِظام؟,نظام موارد بشرية ومرتبات مصري متكامل للشركات الصغيرة والمتوسطة. بيحسب كل حاجة أوتوماتيك حسب القانون المصري ويوفّر وقتك آخر الشهر.
بكام الاشتراك؟,3 باقات شهريًا: الأساسية 750 جنيه والمتوسطة 2500 جنيه والمتقدمة 6000 جنيه. الفرق حسب عدد الموظفين والمميزات. وفيه تجربة 14 يوم مجانية.
الأسعار كام؟,750 و 2500 و 6000 جنيه في الشهر حسب الباقة وعدد موظفينك. جرّب الأول 14 يوم مجانًا من nidhamhr.com/signup
النظام بكام في الشهر؟,من 750 جنيه شهريًا للباقة الأساسية. حضرتك كام موظف عشان أرشّحلك الأنسب؟
فيه باقات ايه؟,3 باقات: أساسية 750 جنيه ومتوسطة 2500 جنيه ومتقدمة 6000 جنيه شهريًا. كلها بتشمل المرتبات والحضور والتأمينات والفرق في السعة والمميزات.
فيه تجربة مجانية؟,أيوه 14 يوم تجربة كاملة مجانًا بدون أي مصاريف وبدون بيانات دفع. سجّل من nidhamhr.com/signup
اقدر اجرب الأول؟,طبعًا. التجربة 14 يوم مجانية بالكامل وتدخّل موظفينك وتشوف كل حاجة قبل ما تدفع جنيه. ابدأ من nidhamhr.com/signup
التجربة المجانية كام يوم؟,14 يوم كاملة مجانًا بدون التزام. اللينك nidhamhr.com/signup
ازاي ابدأ؟,سجّل في التجربة المجانية من nidhamhr.com/signup وابدأ تضيف موظفينك في دقايق. ولو حابب نعملك ديمو سريع قوللي.
ازاي اسجل؟,من اللينك ده مباشرة nidhamhr.com/signup — بتدخل إيميلك وتبدأ على طول. لو واجهتك أي حاجة قوللي.
بيحسب المرتبات؟,أيوه بيحسب مرتب كل موظف أوتوماتيك: الصافي والتأمينات والضريبة والأوفر تايم والسلف والخصومات ويطلّع قسيمة لكل واحد بضغطة زر.
بيطلع قسيمة مرتب؟,أيوه قسيمة مرتب مفصّلة لكل موظف تقدر تطبعها أو تبعتها له.
بيحسب التأمينات؟,أيوه بيحسب التأمينات صح: 11% على الموظف و 18.75% على الشركة على الأجر التأميني — ويحميك من غرامات الهيئة.
التأمينات بتتحسب ازاي؟,على الأجر التأميني المحصور بين 2700 و 16700 جنيه لقيم 2026: 11% خصم على الموظف و 18.75% على الشركة. النظام بيعملها أوتوماتيك.
بيحسب الضريبة؟,أيوه بيحسب ضريبة كسب العمل بالشرائح المتدرجة 2026 لكل موظف ويجهّزلك إقرارات النموذج 4 والنموذج 27.
بيحسب الأوفر تايم؟,أيوه بنسب القانون: نهاري ×1.35 وليلي ×1.70 ويوم الراحة ×2 — من بيانات الحضور الفعلية ويضيفه للمرتب.
بيحسب نهاية الخدمة؟,أيوه بيحسب مكافأة نهاية الخدمة بالمادة 122 مع الإجازات المتراكمة ومستحقات الشهر الأخير ويطبع شهادة خبرة ونموذج 6.
بيدير الإجازات؟,أيوه بيتابع رصيد إجازة كل موظف حسب أقدميته (21 أو 30 يوم) ويستقبل الطلبات ويرحّل المتبقي آخر السنة ويسجّل المأموريات.
بيربط جهاز البصمة؟,أيوه بيربط جهاز البصمة عندك ويسحب الحضور والانصراف تلقائيًا ويحسب التأخير والأوفر تايم والغياب وتراجع وتعتمد بضغطة.
بيتابع الحضور والانصراف؟,أيوه بيسجّل حضور وانصراف كل موظف ويحسب التأخير والإضافي والغياب ويوصّلها للمرتبات على طول.
فيه CRM؟,أيوه فيه CRM لإدارة عملائك ومبيعاتك ومتابعة التواصل معاهم جوه نفس النظام.
بيطلع تقارير؟,أيوه تقارير مرتبات وحضور وتأمينات وضريبة وإقرارات جاهزة للتقديم (النموذج 4 والنموذج 27).
بيشتغل أوفلاين؟,فيه تطبيق ديسك توب تحمّله وتثبّته على جهازك من nidhamhr.com وبيشتغل مع النت. وكمان النظام بيفتح من المتصفح مباشرة.
بيشتغل أونلاين؟,أيوه نظام سحابي بالكامل تشتغل عليه من أي مكان وأي جهاز عن طريق المتصفح. ومعاه تطبيق ديسك توب كمان.
فيه تطبيق للكمبيوتر؟,أيوه فيه تطبيق ديسك توب تحمّله من الموقع وتثبّته على جهازك. اللينك nidhamhr.com
بيشتغل على الموبايل؟,أيوه بيفتح من متصفح الموبايل بسهولة من غير تحميل — تتابع شركتك من أي مكان.
بياناتي آمنة؟,أيوه بياناتك متخزّنة على السحابة بشكل آمن ومتنسخ احتياطيًا وكل شركة بياناتها منفصلة تمامًا.
يدير أكتر من شركة؟,أيوه تقدر تدير أكتر من شركة أو فرع على نفس الحساب وكل واحدة ببياناتها وموظفينها منفصلين.
عندي 10 موظفين انهي باقة؟,للعدد ده غالبًا الباقة الأساسية تكفي. ابدأ بالتجربة المجانية وفريقنا يأكّدلك الأنسب من غير أي التزام.
عندي 50 موظف انهي باقة؟,للعدد ده الباقة المتوسطة أو المتقدمة حسب احتياجك. ابدأ التجربة المجانية وفريقنا يرشّحلك الأنسب.
ليه أغير من الإكسل؟,الإكسل بيغلط في التأمينات والضريبة وبيضيّع وقت وبيعرّضك لغرامات. النظام بيحسب صح أوتوماتيك ويطلّع قسايم وتقارير في ثواني.
عندي محاسب بيعمل المرتبات,تمام — النظام بيساعد محاسبك يخلّص أسرع وبدقة أعلى ويطلّع الإقرارات جاهزة بدل الحساب اليدوي. جرّبوه مع بعض 14 يوم مجانًا.
غالي شوية,أفهمك. بس غرامة تأمينات واحدة أو خطأ ضريبة ممكن يكلّفك أضعاف الاشتراك. والنظام بيوفّر وقت موظف كامل آخر الشهر. جرّب 14 يوم مجانًا وقيس بنفسك.
هفكر وارد عليك,تمام خد وقتك. خليني أبعتلك لينك التجربة المجانية تجرّب من غير أي التزام وتقرر بعدها: nidhamhr.com/signup
مش متأكد النظام هيفيدني,عشان كده التجربة 14 يوم مجانية بالكامل — تدخّل موظفينك وتشوف المرتبات والتقارير بنفسك قبل ما تدفع أي حاجة.
فيه التزام بعقد؟,الاشتراك شهري ومرن ومفيش التزام طويل. والتجربة بدون أي التزام خالص.
اقدر اقفل الاشتراك؟,أيوه تقدر توقف اشتراكك في أي وقت من غير تعقيد.
ازاي بدفع؟,بعد ما تجرّب وتقتنع فريقنا بيرتّب معاك طريقة الدفع المناسبة ليك.
فيه خصم على السنة؟,أيوه الاشتراك السنوي بيوفّرلك حوالي شهرين مقارنة بالشهري. فريقنا يوضّحلك التفاصيل.
بتدعموني في الإعداد؟,أيوه بنساعدك في إعداد الحساب وإدخال موظفينك ونوفّرلك شرح للاستخدام عشان تبدأ بسرعة.
فيه تدريب؟,أيوه بنوفّر شرح وإرشاد للاستخدام ودعم لأي سؤال يقابلك أثناء التشغيل.
النظام مناسب لمصنع؟,جدًا. بيتعامل مع عدد عمالة كبير وورديات وبصمة وأوفر تايم وتأمينات — كله أوتوماتيك. جرّبه 14 يوم مجانًا.
مناسب لعيادة؟,أيوه مناسب للعيادات والمراكز الطبية لإدارة الأطباء والموظفين والمرتبات والحضور والإجازات.
مناسب لشركة مقاولات؟,أيوه مناسب للمقاولات لإدارة العمالة والمرتبات والتأمينات والحضور حتى لو في أكتر من موقع.
عايز ديمو,بكل سرور. ابعتلي اسم حضرتك واسم الشركة وعدد الموظفين وميعاد يناسبك ونعملك جولة سريعة أونلاين 10 دقايق.
عايز اكلم حد,تحت أمرك. ابعتلي اسم حضرتك واسم الشركة وعدد الموظفين ورقمك وفريقنا هيكلّمك في أقرب فرصة.
انتو فين؟,نِظام نظام مصري سحابي تشتغل عليه من أي مكان أونلاين. موقعنا nidhamhr.com
اللينك ايه؟,الموقع nidhamhr.com والتجربة المجانية nidhamhr.com/signup والأدوات المجانية nidhamhr.com/tools
شكرا,العفو يا فندم. أي وقت تحب تبدأ التجربة المجانية تلاقيني هنا nidhamhr.com/signup
